round;minSpace;maxSpace
8;97;101
16;98;102
24;98;102
32;99;102
40;96;100
48;97;101
56;97;101
64;98;101
72;94;98
80;95;99
88;95;99
96;96;99
104;93;97
112;94;98
120;94;98
128;95;98
136;90;94
144;91;95
152;91;95
160;92;95
168;89;93
176;90;94
184;90;94
192;91;94
200;87;91
208;88;92
216;88;92
224;89;92
232;86;90
240;87;91
248;87;91
256;88;91
264;82;86
272;83;87
280;83;87
288;84;87
296;81;85
304;82;86
312;82;86
320;83;86
328;79;83
336;80;84
344;80;84
352;81;84
360;78;82
368;79;83
376;79;83
384;80;83
392;75;79
400;76;80
408;76;80
416;77;80
424;74;78
432;75;79
440;75;79
448;76;79
456;72;76
464;73;77
472;73;77
480;74;77
488;58;69
496;43;54
504;28;39
512;17;25
