round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
2;18;10;10;8;5;5
4;16;8;10;6;3;5
6;18;10;10;8;5;5
8;12;6;10;3;2;5
10;18;9;10;8;4;5
12;16;9;10;6;4;5
14;17;9;10;7;4;5
16;12;6;10;3;2;5
18;18;9;10;8;4;5
20;16;9;10;6;4;5
22;17;9;10;7;4;5
24;13;7;10;4;3;5
26;17;9;10;7;4;5
28;16;8;10;6;3;5
30;17;9;10;7;4;5
32;10;6;10;2;1;5
34;18;10;10;8;5;5
36;16;8;10;6;3;5
38;18;10;10;8;5;5
40;12;6;10;3;2;5
42;18;9;10;8;4;5
44;16;9;10;6;4;5
46;17;9;10;7;4;5
48;12;6;10;3;2;5
50;18;9;10;8;4;5
52;16;9;10;6;4;5
54;17;9;10;7;4;5
56;13;7;10;4;3;5
58;17;9;10;7;4;5
60;16;8;10;6;3;5
62;17;9;10;7;4;5
64;10;6;10;2;1;5
66;18;10;10;8;5;5
68;16;8;10;6;3;5
70;18;10;10;8;5;5
72;12;6;10;3;2;5
74;18;9;10;8;4;5
76;16;9;10;6;4;5
78;17;9;10;7;4;5
80;12;6;10;3;2;5
82;18;9;10;8;4;5
84;16;9;10;6;4;5
86;17;9;10;7;4;5
88;13;7;10;4;3;5
90;17;9;10;7;4;5
92;16;8;10;6;3;5
94;17;9;10;7;4;5
96;10;6;10;2;1;5
98;11;6;10;5;3;5
100;10;5;10;4;2;5
102;11;6;10;5;3;5
104;7;4;10;2;1;5
106;11;6;10;5;3;5
108;10;5;10;4;2;5
110;11;6;10;5;3;5
112;7;4;10;2;1;5
114;11;6;10;5;3;5
116;10;5;10;4;2;5
118;11;6;10;5;3;5
120;7;4;10;2;1;5
122;4;2;10;2;1;5
124;4;2;10;2;1;5
126;4;2;10;2;1;5
128;4;2;10;2;1;5
