round;minSpace;maxSpace
16;58;69
32;61;71
48;61;71
64;63;71
80;59;70
96;62;70
112;62;70
128;63;71
144;59;70
160;62;70
176;62;70
192;63;71
208;60;69
224;61;70
240;61;70
256;63;71
272;59;70
288;62;70
304;62;70
320;63;71
336;60;69
352;61;70
368;61;70
384;63;71
400;60;69
416;61;70
432;61;70
448;63;71
464;59;69
480;62;69
496;62;69
512;62;71
528;57;68
544;60;70
560;60;70
576;62;70
592;58;69
608;61;69
624;61;69
640;62;70
656;58;69
672;61;69
688;61;69
704;62;70
720;59;68
736;60;69
752;60;69
768;62;70
784;58;69
800;61;69
816;61;69
832;62;70
848;59;68
864;60;69
880;60;69
896;62;70
912;59;68
928;60;69
944;60;69
960;62;70
976;58;68
992;61;68
1008;61;68
1024;61;70
1040;55;66
1056;58;68
1072;58;68
1088;60;68
1104;56;67
1120;59;67
1136;59;67
1152;60;68
1168;56;67
1184;59;67
1200;59;67
1216;60;68
1232;57;66
1248;58;67
1264;58;67
1280;60;68
1296;56;67
1312;59;67
1328;59;67
1344;60;68
1360;57;66
1376;58;67
1392;58;67
1408;60;68
1424;57;66
1440;58;67
1456;58;67
1472;60;68
1488;56;66
1504;59;66
1520;59;66
1536;59;68
1552;54;65
1568;57;67
1584;57;67
1600;59;67
1616;55;66
1632;58;66
1648;58;66
1664;59;67
1680;55;66
1696;58;66
1712;58;66
1728;59;67
1744;56;65
1760;57;66
1776;57;66
1792;59;67
1808;55;66
1824;58;66
1840;58;66
1856;59;67
1872;56;65
1888;57;66
1904;57;66
1920;59;67
1936;56;65
1952;57;66
1968;57;66
1984;59;67
2000;55;65
2016;58;65
2032;58;65
2048;58;67
2064;51;62
2080;54;64
2096;54;64
2112;56;64
2128;52;63
2144;55;63
2160;55;63
2176;56;64
2192;52;63
2208;55;63
2224;55;63
2240;56;64
2256;53;62
2272;54;63
2288;54;63
2304;56;64
2320;52;63
2336;55;63
2352;55;63
2368;56;64
2384;53;62
2400;54;63
2416;54;63
2432;56;64
2448;53;62
2464;54;63
2480;54;63
2496;56;64
2512;52;62
2528;55;62
2544;55;62
2560;55;64
2576;50;61
2592;53;63
2608;53;63
2624;55;63
2640;51;62
2656;54;62
2672;54;62
2688;55;63
2704;51;62
2720;54;62
2736;54;62
2752;55;63
2768;52;61
2784;53;62
2800;53;62
2816;55;63
2832;51;62
2848;54;62
2864;54;62
2880;55;63
2896;52;61
2912;53;62
2928;53;62
2944;55;63
2960;52;61
2976;53;62
2992;53;62
3008;55;63
3024;51;61
3040;54;61
3056;54;61
3072;54;63
3088;48;59
3104;51;61
3120;51;61
3136;53;61
3152;49;60
3168;52;60
3184;52;60
3200;53;61
3216;49;60
3232;52;60
3248;52;60
3264;53;61
3280;50;59
3296;51;60
3312;51;60
3328;53;61
3344;49;60
3360;52;60
3376;52;60
3392;53;61
3408;50;59
3424;51;60
3440;51;60
3456;53;61
3472;50;59
3488;51;60
3504;51;60
3520;53;61
3536;49;59
3552;52;59
3568;52;59
3584;52;61
3600;47;54
3616;48;54
3632;48;54
3648;48;54
3664;46;53
3680;47;53
3696;47;53
3712;47;53
3728;44;51
3744;45;51
3760;45;51
3776;45;51
3792;43;50
3808;44;50
3824;44;50
3840;44;50
3856;40;47
3872;41;47
3888;41;47
3904;41;47
3920;39;46
3936;40;46
3952;40;46
3968;40;46
3984;37;44
4000;38;44
4016;38;44
4032;38;44
4048;35;39
4064;32;36
4080;28;32
4096;16;29
