round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
16;110;7;7;50;6;6
32;110;7;7;48;5;6
48;110;7;7;50;5;6
64;109;7;7;45;6;6
80;110;7;7;50;5;6
96;110;7;7;48;5;6
112;110;7;7;49;5;6
128;109;7;7;45;5;6
144;110;7;7;50;5;6
160;110;7;7;48;5;6
176;110;7;7;49;5;6
192;109;7;7;46;5;6
208;110;7;7;49;5;6
224;110;7;7;48;5;6
240;110;7;7;50;5;6
256;109;7;7;44;4;6
272;110;7;7;50;5;6
288;110;7;7;48;5;6
304;110;7;7;49;5;6
320;109;7;7;46;5;6
336;110;7;7;49;5;6
352;110;7;7;48;5;6
368;110;7;7;50;5;6
384;109;7;7;45;4;6
400;110;7;7;49;5;6
416;110;7;7;48;5;6
432;110;7;7;50;5;6
448;109;7;7;45;4;6
464;110;7;7;50;6;6
480;110;7;7;48;5;6
496;110;7;7;50;5;6
512;108;7;7;42;5;6
528;110;7;7;50;6;6
544;110;7;7;48;5;6
560;110;7;7;50;5;6
576;109;7;7;45;6;6
592;110;7;7;50;5;6
608;110;7;7;48;5;6
624;110;7;7;49;5;6
640;109;7;7;45;5;6
656;110;7;7;50;5;6
672;110;7;7;48;5;6
688;110;7;7;49;5;6
704;109;7;7;46;5;6
720;110;7;7;49;5;6
736;110;7;7;48;5;6
752;110;7;7;50;5;6
768;109;7;7;44;4;6
784;110;7;7;50;5;6
800;110;7;7;48;5;6
816;110;7;7;49;5;6
832;109;7;7;46;5;6
848;110;7;7;49;5;6
864;110;7;7;48;5;6
880;110;7;7;50;5;6
896;109;7;7;45;4;6
912;110;7;7;49;5;6
928;110;7;7;48;5;6
944;110;7;7;50;5;6
960;109;7;7;45;4;6
976;110;7;7;50;6;6
992;110;7;7;48;5;6
1008;110;7;7;50;5;6
1024;108;7;7;42;5;6
1040;110;7;7;50;6;6
1056;110;7;7;48;5;6
1072;110;7;7;50;5;6
1088;109;7;7;45;6;6
1104;110;7;7;50;5;6
1120;110;7;7;48;5;6
1136;110;7;7;49;5;6
1152;109;7;7;45;5;6
1168;110;7;7;50;5;6
1184;110;7;7;48;5;6
1200;110;7;7;49;5;6
1216;109;7;7;46;5;6
1232;110;7;7;49;5;6
1248;110;7;7;48;5;6
1264;110;7;7;50;5;6
1280;109;7;7;44;4;6
1296;110;7;7;50;5;6
1312;110;7;7;48;5;6
1328;110;7;7;49;5;6
1344;109;7;7;46;5;6
1360;110;7;7;49;5;6
1376;110;7;7;48;5;6
1392;110;7;7;50;5;6
1408;109;7;7;45;4;6
1424;110;7;7;49;5;6
1440;110;7;7;48;5;6
1456;110;7;7;50;5;6
1472;109;7;7;45;4;6
1488;110;7;7;50;6;6
1504;110;7;7;48;5;6
1520;110;7;7;50;5;6
1536;108;7;7;42;5;6
1552;110;7;7;50;6;6
1568;110;7;7;48;5;6
1584;110;7;7;50;5;6
1600;109;7;7;45;6;6
1616;110;7;7;50;5;6
1632;110;7;7;48;5;6
1648;110;7;7;49;5;6
1664;109;7;7;45;5;6
1680;110;7;7;50;5;6
1696;110;7;7;48;5;6
1712;110;7;7;49;5;6
1728;109;7;7;46;5;6
1744;110;7;7;49;5;6
1760;110;7;7;48;5;6
1776;110;7;7;50;5;6
1792;109;7;7;44;4;6
1808;110;7;7;50;5;6
1824;110;7;7;48;5;6
1840;110;7;7;49;5;6
1856;109;7;7;46;5;6
1872;110;7;7;49;5;6
1888;110;7;7;48;5;6
1904;110;7;7;50;5;6
1920;109;7;7;45;4;6
1936;110;7;7;49;5;6
1952;110;7;7;48;5;6
1968;110;7;7;50;5;6
1984;109;7;7;45;4;6
2000;110;7;7;50;6;6
2016;110;7;7;48;5;6
2032;110;7;7;50;5;6
2048;108;7;7;42;5;6
2064;110;7;7;50;6;6
2080;110;7;7;48;5;6
2096;110;7;7;50;5;6
2112;109;7;7;45;6;6
2128;110;7;7;50;5;6
2144;110;7;7;48;5;6
2160;110;7;7;49;5;6
2176;109;7;7;45;5;6
2192;110;7;7;50;5;6
2208;110;7;7;48;5;6
2224;110;7;7;49;5;6
2240;109;7;7;46;5;6
2256;110;7;7;49;5;6
2272;110;7;7;48;5;6
2288;110;7;7;50;5;6
2304;109;7;7;44;4;6
2320;110;7;7;50;5;6
2336;110;7;7;48;5;6
2352;110;7;7;49;5;6
