timePerAuthStepAvg;timePerAuthStepSum
7418639;29674558
6457761;25831047
7584259;30337038
4987325;19949302
7273674;29094697
6497275;25989102
7125116;28500467
5045183;20180732
7229030;28916121
6527807;26111231
6810298;27241192
5446981;21787925
6812222;27248889
6370013;25480055
7276368;29105473
4193094;16772376
7290608;29162433
6393233;25572934
7382591;29530364
5017729;20070917
7247503;28990015
6448397;25793591
6790541;27162166
4970006;19880025
7365913;29463655
6354490;25417963
6861997;27447991
5624916;22499664
7000164;28000657
6535504;26142019
7494586;29978345
4246718;16986872
7531276;30125106
6549616;26198467
7437883;29751533
5162695;20650780
7493175;29972701
6635313;26541253
6974250;27897000
5200411;20801646
7557832;30231330
6591181;26364727
6999651;27998604
5668663;22674652
7119087;28476349
6381944;25527777
7277010;29108041
4291876;17167505
5218243;20872975
4725361;18901444
5130623;20522492
3778082;15112330
5111636;20446545
4676098;18704393
5114330;20457321
3774362;15097448
5083285;20333140
4608875;18435503
5435564;21742256
3629396;14517586
2948572;11794289
2932921;11731684
2929970;11719881
1047215;4188862
