timePerAuthStepAvg;timePerAuthStepSum
551;564470
500;512641
490;502376
508;520850
505;517774
504;516233
495;507513
505;517772
491;502892
504;516745
495;506994
503;515204
517;529572
506;518284
505;517772
509;521876
483;494680
459;470561
490;501860
465;476205
479;490576
466;477231
478;489546
467;478769
482;494166
472;483900
481;492625
461;472101
481;493141
463;474153
479;491088
470;481338
486;497753
506;518798
494;506481
499;511615
498;510069
509;521361
502;514180
522;534701
538;551638
521;533680
497;509559
524;536757
498;510071
500;512125
511;523411
507;519310
461;472609
462;473129
462;473126
3131;3206688
462;473638
437;447981
449;459783
461;472614
455;466455
456;467480
453;463888
460;471076
421;432074
411;421813
416;426432
359;367933
