leafIndex;computations
0;0
1;1
2;1
3;1
4;2
5;2
6;1
7;1
8;2
9;3
10;2
11;3
12;2
13;2
14;1
15;1
16;2
17;3
18;2
19;3
20;2
21;3
22;2
23;3
24;2
25;3
26;2
27;3
28;2
29;3
30;2
31;3
32;2
33;3
34;2
35;3
36;2
37;3
38;2
39;3
40;2
41;3
42;2
43;3
44;2
45;3
46;2
47;3
48;2
49;3
50;2
51;3
52;2
53;3
54;2
55;3
56;2
57;3
58;2
59;3
60;2
61;3
62;2
63;3
64;2
65;3
66;2
67;3
68;2
69;3
70;2
71;3
72;2
73;3
74;2
75;3
76;2
77;3
78;2
79;3
80;2
81;3
82;2
83;3
84;2
85;3
86;2
87;3
88;2
89;3
90;2
91;3
92;2
93;3
94;2
95;3
96;2
97;3
98;2
99;3
100;2
101;3
102;2
103;3
104;2
105;3
106;2
107;3
108;2
109;3
110;2
111;3
112;2
113;3
114;2
115;3
116;2
117;3
118;2
119;3
120;2
121;3
122;2
123;3
124;2
125;3
126;2
127;3
128;2
129;3
130;2
131;3
132;2
133;3
134;2
135;3
136;2
137;3
138;2
139;3
140;2
141;3
142;2
143;3
144;2
145;3
146;2
147;3
148;2
149;3
150;2
151;3
152;2
153;3
154;2
155;3
156;2
157;3
158;2
159;3
160;2
161;3
162;2
163;3
164;2
165;3
166;2
167;3
168;2
169;3
170;2
171;3
172;2
173;3
174;2
175;3
176;2
177;3
178;2
179;3
180;2
181;3
182;2
183;3
184;2
185;3
186;2
187;3
188;2
189;3
190;2
191;3
192;2
193;3
194;2
195;3
196;2
197;3
198;2
199;3
200;2
201;3
202;2
203;3
204;2
205;3
206;2
207;3
208;2
209;3
210;2
211;3
212;2
213;3
214;2
215;3
216;2
217;3
218;2
219;3
220;2
221;3
222;2
223;3
224;2
225;3
226;2
227;3
228;2
229;3
230;2
231;3
232;2
233;3
234;2
235;3
236;2
237;3
238;2
239;3
240;2
241;3
242;2
243;3
244;2
245;3
246;2
247;3
248;2
249;3
250;2
251;3
252;2
253;3
254;2
255;3
256;2
257;3
258;2
259;3
260;2
261;3
262;2
263;3
264;2
265;3
266;2
267;3
268;2
269;3
270;2
271;3
272;2
273;3
274;2
275;3
276;2
277;3
278;2
279;3
280;2
281;3
282;2
283;3
284;2
285;3
286;2
287;3
288;2
289;3
290;2
291;3
292;2
293;3
294;2
295;3
296;2
297;3
298;2
299;3
300;2
301;3
302;2
303;3
304;2
305;3
306;2
307;3
308;2
309;3
310;2
311;3
312;2
313;3
314;2
315;3
316;2
317;3
318;2
319;3
320;2
321;3
322;2
323;3
324;2
325;3
326;2
327;3
328;2
329;3
330;2
331;3
332;2
333;3
334;2
335;3
336;2
337;3
338;2
339;3
340;2
341;3
342;2
343;3
344;2
345;3
346;2
347;3
348;2
349;3
350;2
351;3
352;2
353;3
354;2
355;3
356;2
357;3
358;2
359;3
360;2
361;3
362;2
363;3
364;2
365;3
366;2
367;3
368;2
369;3
370;2
371;3
372;2
373;3
374;2
375;3
376;2
377;3
378;2
379;3
380;2
381;3
382;2
383;3
384;2
385;3
386;2
387;3
388;2
389;3
390;2
391;3
392;2
393;3
394;2
395;3
396;2
397;3
398;2
399;3
400;2
401;3
402;2
403;3
404;2
405;3
406;2
407;3
408;2
409;3
410;2
411;3
412;2
413;3
414;2
415;3
416;2
417;3
418;2
419;3
420;2
421;3
422;2
423;3
424;2
425;3
426;2
427;3
428;2
429;3
430;2
431;3
432;2
433;3
434;2
435;3
436;2
437;3
438;2
439;3
440;2
441;3
442;2
443;3
444;2
445;3
446;2
447;3
448;2
449;3
450;2
451;3
452;2
453;3
454;2
455;3
456;2
457;3
458;2
459;3
460;2
461;3
462;2
463;3
464;2
465;3
466;2
467;3
468;2
469;3
470;2
471;3
472;2
473;3
474;2
475;3
476;2
477;3
478;2
479;3
480;2
481;3
482;2
483;3
484;2
485;3
486;2
487;3
488;2
489;3
490;2
491;3
492;2
493;3
494;2
495;3
496;2
497;3
498;2
499;3
500;2
501;3
502;2
503;3
504;2
505;3
506;2
507;3
508;2
509;3
510;2
511;3
