round;minSpace;maxSpace
32;29;41
64;28;44
96;30;46
128;27;45
160;32;46
192;29;47
224;31;47
256;26;46
288;32;46
320;30;47
352;33;48
384;28;48
416;33;47
448;30;48
480;33;48
512;25;48
544;31;45
576;29;46
608;32;47
640;28;47
672;33;47
704;30;48
736;33;48
768;25;48
800;31;45
832;29;46
864;32;47
896;27;47
928;32;46
960;29;47
992;32;47
1024;22;47
1056;28;42
1088;26;43
1120;29;44
1152;25;44
1184;30;44
1216;27;45
1248;30;45
1280;23;45
1312;29;43
1344;27;44
1376;30;45
1408;25;45
1440;30;44
1472;27;45
1504;30;45
1536;21;45
1568;27;41
1600;25;42
1632;28;43
1664;24;43
1696;29;43
1728;26;44
1760;29;44
1792;21;44
1824;27;41
1856;25;42
1888;28;43
1920;23;43
1952;28;42
1984;25;43
2016;28;43
