rounds;hashValues;leafValues
1;0;1
2;0;1
3;0;1
4;1;3
5;0;1
6;0;1
7;0;1
8;1;3
9;1;4
10;2;2
11;0;1
12;1;3
13;0;1
14;0;1
15;0;1
16;1;3
17;1;4
18;2;3
19;3;4
20;1;3
21;1;4
22;3;2
23;0;1
24;1;3
25;1;4
26;2;2
27;0;1
28;1;3
29;0;1
30;0;1
31;0;1
32;1;3
33;1;4
34;2;3
35;3;4
36;1;3
37;1;4
38;3;3
39;3;4
40;1;3
41;1;4
42;2;3
43;4;4
44;1;3
45;1;4
46;2;3
47;5;4
48;1;3
49;1;4
50;2;3
51;3;4
52;1;3
53;1;4
54;3;2
55;0;1
56;1;3
57;1;4
58;2;2
59;0;1
60;1;3
61;0;1
62;0;1
63;0;1
64;1;3
65;1;4
66;2;3
67;3;4
68;1;3
69;1;4
70;3;3
71;3;4
72;1;3
73;1;4
74;2;3
75;4;4
76;1;3
77;1;4
78;2;3
79;5;4
80;1;3
81;1;4
82;2;3
83;3;4
84;1;3
85;1;4
86;3;3
87;3;4
88;1;3
89;1;4
90;2;3
91;4;4
92;1;3
93;1;4
94;2;3
95;5;4
96;1;3
97;1;4
98;2;3
99;3;4
100;1;3
101;1;4
102;3;3
103;3;4
104;1;3
105;1;4
106;2;3
107;4;4
108;1;3
109;1;4
110;2;3
111;5;4
112;1;3
113;1;4
114;2;3
115;3;4
116;1;3
117;1;4
118;3;3
119;3;4
120;1;3
121;1;4
122;2;3
123;4;4
124;1;3
125;1;4
126;2;3
127;6;4
128;1;3
129;1;4
130;2;3
131;3;4
132;1;3
133;1;4
134;3;3
135;3;4
136;1;3
137;1;4
138;2;3
139;4;4
140;1;3
141;1;4
142;2;3
143;5;4
144;1;3
145;1;4
146;2;3
147;3;4
148;1;3
149;1;4
150;3;3
151;3;4
152;1;3
153;1;4
154;2;3
155;4;4
156;1;3
157;1;4
158;2;3
159;5;4
160;1;3
161;1;4
162;2;3
163;3;4
164;1;3
165;1;4
166;3;3
167;3;4
168;1;3
169;1;4
170;2;3
171;4;4
172;1;3
173;1;4
174;2;3
175;5;4
176;1;3
177;1;4
178;2;3
179;3;4
180;1;3
181;1;4
182;3;3
183;3;4
184;1;3
185;1;4
186;2;3
187;4;4
188;1;3
189;1;4
190;2;3
191;6;4
192;1;3
193;1;4
194;2;3
195;3;4
196;1;3
197;1;4
198;3;3
199;3;4
200;1;3
201;1;4
202;2;3
203;4;4
204;1;3
205;1;4
206;2;3
207;5;4
208;1;3
209;1;4
210;2;3
211;3;4
212;1;3
213;1;4
214;3;3
215;3;4
216;1;3
217;1;4
218;2;3
219;4;4
220;1;3
221;1;4
222;2;3
223;5;4
224;1;3
225;1;4
226;2;3
227;3;4
228;1;3
229;1;4
230;3;3
231;3;4
232;1;3
233;1;4
234;2;3
235;4;4
236;1;3
237;1;4
238;2;3
239;5;4
240;1;3
241;1;4
242;2;3
243;3;4
244;1;3
245;1;4
246;3;3
247;3;4
248;1;3
249;1;4
250;2;3
251;4;4
252;1;3
253;1;4
254;2;3
255;6;4
256;1;3
257;1;4
258;2;3
259;3;4
260;1;3
261;1;4
262;3;3
263;3;4
264;1;3
265;1;4
266;2;3
267;4;4
268;1;3
269;1;4
270;2;3
271;5;4
272;1;3
273;1;4
274;2;3
275;3;4
276;1;3
277;1;4
278;3;3
279;3;4
280;1;3
281;1;4
282;2;3
283;4;4
284;1;3
285;1;4
286;2;3
287;5;4
288;1;3
289;1;4
290;2;3
291;3;4
292;1;3
293;1;4
294;3;3
295;3;4
296;1;3
297;1;4
298;2;3
299;4;4
300;1;3
301;1;4
302;2;3
303;5;4
304;1;3
305;1;4
306;2;3
307;3;4
308;1;3
309;1;4
310;3;3
311;3;4
312;1;3
313;1;4
314;2;3
315;4;4
316;1;3
317;1;4
318;2;3
319;6;4
320;1;3
321;1;4
322;2;3
323;3;4
324;1;3
325;1;4
326;3;3
327;3;4
328;1;3
329;1;4
330;2;3
331;4;4
332;1;3
333;1;4
334;2;3
335;5;4
336;1;3
337;1;4
338;2;3
339;3;4
340;1;3
341;1;4
342;3;3
343;3;4
344;1;3
345;1;4
346;2;3
347;4;4
348;1;3
349;1;4
350;2;3
351;5;4
352;1;3
353;1;4
354;2;3
355;3;4
356;1;3
357;1;4
358;3;3
359;3;4
360;1;3
361;1;4
362;2;3
363;4;4
364;1;3
365;1;4
366;2;3
367;5;4
368;1;3
369;1;4
370;2;3
371;3;4
372;1;3
373;1;4
374;3;3
375;3;4
376;1;3
377;1;4
378;2;3
379;4;4
380;1;3
381;1;4
382;2;3
383;6;4
384;1;3
385;1;4
386;2;3
387;3;4
388;1;3
389;1;4
390;3;3
391;3;4
392;1;3
393;1;4
394;2;3
395;4;4
396;1;3
397;1;4
398;2;3
399;5;4
400;1;3
401;1;4
402;2;3
403;3;4
404;1;3
405;1;4
406;3;3
407;3;4
408;1;3
409;1;4
410;2;3
411;4;4
412;1;3
413;1;4
414;2;3
415;5;4
416;1;3
417;1;4
418;2;3
419;3;4
420;1;3
421;1;4
422;3;3
423;3;4
424;1;3
425;1;4
426;2;3
427;4;4
428;1;3
429;1;4
430;2;3
431;5;4
432;1;3
433;1;4
434;2;3
435;3;4
436;1;3
437;1;4
438;3;3
439;3;4
440;1;3
441;1;4
442;2;3
443;4;4
444;1;3
445;1;4
446;2;3
447;6;4
448;1;3
449;1;4
450;2;3
451;3;4
452;1;3
453;1;4
454;3;3
455;3;4
456;1;3
457;1;4
458;2;3
459;4;4
460;1;3
461;1;4
462;2;3
463;5;4
464;1;3
465;1;4
466;2;3
467;3;4
468;1;3
469;1;4
470;3;3
471;3;4
472;1;3
473;1;4
474;2;3
475;4;4
476;1;3
477;1;4
478;2;3
479;5;4
480;1;3
481;1;4
482;2;3
483;3;4
484;1;3
485;1;4
486;3;3
487;3;4
488;1;3
489;1;4
490;2;3
491;4;4
492;1;3
493;1;4
494;2;3
495;5;4
496;1;3
497;1;4
498;2;3
499;3;4
500;1;3
501;1;4
502;3;3
503;3;4
504;1;3
505;1;4
506;2;3
507;4;4
508;1;3
509;1;4
510;2;3
511;6;4
