round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
256;4629;25;25;1029;5;5
512;5377;26;26;1280;5;5
768;5377;26;26;1280;5;5
1024;5377;26;26;1280;5;5
1280;5377;26;26;1280;5;5
1536;5377;26;26;1280;5;5
1792;5377;26;26;1280;5;5
2048;5377;26;26;1280;5;5
2304;5377;26;26;1280;5;5
2560;5377;26;26;1280;5;5
2816;5377;26;26;1280;5;5
3072;5377;26;26;1280;5;5
3328;5377;26;26;1280;5;5
3584;5377;26;26;1280;5;5
3840;5377;26;26;1280;5;5
4096;5377;26;26;1280;5;5
4352;5377;26;26;1280;5;5
4608;5377;26;26;1280;5;5
4864;5377;26;26;1280;5;5
5120;5377;26;26;1280;5;5
5376;5377;26;26;1280;5;5
5632;5377;26;26;1280;5;5
5888;5377;26;26;1280;5;5
6144;5377;26;26;1280;5;5
6400;5377;26;26;1280;5;5
6656;5377;26;26;1280;5;5
6912;5377;26;26;1280;5;5
7168;5377;26;26;1280;5;5
7424;5377;26;26;1280;5;5
7680;5377;26;26;1280;5;5
7936;5377;26;26;1280;5;5
8192;5377;26;26;1280;5;5
8448;5377;26;26;1280;5;5
8704;5377;26;26;1280;5;5
8960;5377;26;26;1280;5;5
9216;5377;26;26;1280;5;5
9472;5377;26;26;1280;5;5
9728;5377;26;26;1280;5;5
9984;5377;26;26;1280;5;5
10240;5377;26;26;1280;5;5
10496;5377;26;26;1280;5;5
10752;5377;26;26;1280;5;5
11008;5377;26;26;1280;5;5
11264;5377;26;26;1280;5;5
11520;5377;26;26;1280;5;5
11776;5377;26;26;1280;5;5
12032;5377;26;26;1280;5;5
12288;5377;26;26;1280;5;5
12544;5377;26;26;1280;5;5
12800;5377;26;26;1280;5;5
13056;5377;26;26;1280;5;5
13312;5377;26;26;1280;5;5
13568;5377;26;26;1280;5;5
13824;5377;26;26;1280;5;5
14080;5377;26;26;1280;5;5
14336;5377;26;26;1280;5;5
14592;5377;26;26;1280;5;5
14848;5377;26;26;1280;5;5
15104;5377;26;26;1280;5;5
15360;5377;26;26;1280;5;5
15616;5377;26;26;1280;5;5
15872;5377;26;26;1280;5;5
16128;5377;26;26;1280;5;5
