timePerAuthStepAvg;timePerAuthStepSum
1941639;7766556
1937790;7751163
1979355;7917423
2197445;8789783
2165373;8661494
1930478;7721913
2015020;8060080
1901869;7607478
1874031;7496127
1911620;7646480
1826565;7306260
1882755;7531021
1834775;7339102
1873903;7495614
1834518;7338075
1924833;7699332
1944589;7778358
1950619;7802477
1910721;7642886
1965372;7861488
1935995;7743980
1924961;7699847
2021562;8086250
2002576;8010305
2000908;8003632
1977816;7911265
1925603;7702412
1936379;7745517
2107900;8431602
1940613;7762452
1963576;7854306
1961652;7846610
1995776;7983106
1862742;7450969
1876212;7504849
1934455;7737821
1931376;7725504
1950106;7800424
1934199;7736796
1935096;7740386
1947797;7791189
1998470;7993883
1997829;7991317
2039394;8157578
1988079;7952318
1946514;7786056
1978714;7914856
1960754;7843017
2023487;8093949
2031441;8125765
1954468;7817872
1981793;7927175
1958445;7833780
1975763;7903055
2068644;8274577
1968323;7873293
1978457;7913830
2005911;8023646
2052351;8209407
2009118;8036475
2000523;8002094
2012582;8050331
2053634;8214538
1961651;7846607
