round;minSpace;maxSpace
16;21;27
32;20;28
48;21;29
64;19;28
80;22;30
96;20;29
112;21;29
128;18;28
144;21;29
160;22;31
176;22;33
192;19;29
208;22;30
224;20;29
240;21;29
256;17;28
272;20;28
288;21;30
304;22;32
320;20;31
336;23;31
352;23;33
368;22;34
384;18;29
400;21;29
416;22;31
432;22;33
448;19;29
464;22;30
480;20;29
496;21;29
512;16;28
528;19;27
544;20;29
560;21;31
576;19;30
592;22;30
608;22;32
624;22;33
640;19;31
656;22;30
672;23;32
688;24;34
704;20;33
720;23;31
736;23;33
752;24;34
768;17;33
784;20;28
800;21;30
816;22;32
832;20;31
848;23;31
864;23;33
880;22;34
896;18;29
912;21;29
928;22;31
944;22;33
960;19;29
976;22;30
992;20;29
1008;21;29
1024;15;28
1040;18;26
1056;19;28
1072;20;30
1088;18;29
1104;21;29
1120;21;31
1136;21;32
1152;18;30
1168;21;29
1184;22;31
1200;23;33
1216;19;32
1232;22;30
1248;22;32
1264;23;33
1280;17;32
1296;20;28
1312;21;30
1328;22;32
1344;20;31
1360;23;31
1376;23;33
1392;23;34
1408;19;32
1424;22;30
1440;23;32
1456;24;34
1472;20;33
1488;23;31
1504;23;33
1520;24;34
1536;16;33
1552;19;27
1568;20;29
1584;21;31
1600;19;30
1616;22;30
1632;22;32
1648;22;33
1664;19;31
1680;22;30
1696;23;32
1712;24;34
1728;20;33
1744;23;31
1760;23;33
1776;24;34
1792;17;33
1808;20;28
1824;21;30
1840;22;32
1856;20;31
1872;23;31
1888;23;33
1904;23;34
1920;19;32
1936;22;30
1952;23;32
1968;24;34
1984;20;33
2000;23;31
2016;23;33
2032;24;34
2048;13;33
2064;16;24
2080;17;26
2096;18;28
2112;16;27
2128;19;27
2144;19;29
2160;19;30
2176;16;28
2192;19;27
2208;20;29
2224;21;31
2240;17;30
2256;20;28
2272;20;30
2288;21;31
2304;15;30
2320;18;26
2336;19;28
2352;20;30
2368;18;29
2384;21;29
2400;21;31
2416;21;32
2432;17;30
2448;20;28
2464;21;30
2480;22;32
2496;18;31
2512;21;29
2528;21;31
2544;22;32
2560;15;31
2576;18;26
2592;19;28
2608;20;30
2624;18;29
2640;21;29
2656;21;31
2672;21;32
2688;18;30
2704;21;29
2720;22;31
2736;23;33
2752;19;32
2768;22;30
2784;22;32
2800;23;33
2816;16;32
2832;19;27
2848;20;29
2864;21;31
2880;19;30
2896;22;30
2912;22;32
2928;22;33
2944;18;31
2960;21;29
2976;22;31
2992;23;33
3008;19;32
3024;22;30
3040;22;32
3056;23;33
3072;13;32
3088;16;24
3104;17;26
3120;18;28
3136;16;27
3152;19;27
3168;19;29
3184;19;30
3200;16;28
3216;19;27
3232;20;29
3248;21;31
3264;17;30
3280;20;28
3296;20;30
3312;21;31
3328;15;30
3344;18;26
3360;19;28
3376;20;30
3392;18;29
3408;21;29
3424;21;31
3440;21;32
3456;17;30
3472;20;28
3488;21;30
3504;22;32
3520;18;31
3536;21;29
3552;21;31
3568;22;32
3584;14;31
3600;17;25
3616;18;27
3632;19;29
3648;17;28
3664;20;28
3680;20;30
3696;20;31
3712;17;29
3728;20;28
3744;21;30
3760;22;32
3776;18;31
3792;21;29
3808;21;31
3824;22;32
3840;15;31
3856;18;26
3872;19;28
3888;20;30
3904;18;29
3920;21;29
3936;21;31
3952;21;32
3968;17;30
3984;20;28
4000;21;30
4016;22;32
4032;18;31
4048;21;29
4064;21;31
4080;22;32
