round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
16;62;9;9;30;5;5
32;81;10;10;40;6;6
48;112;13;13;56;6;6
64;81;10;13;40;6;6
80;175;15;15;88;6;6
96;81;10;15;40;6;6
112;112;13;15;56;6;6
128;81;10;15;40;6;6
144;175;15;15;88;6;6
160;175;15;15;88;6;6
176;145;16;16;72;6;6
192;81;10;16;40;6;6
208;175;15;16;88;6;6
224;81;10;16;40;6;6
240;112;13;16;56;6;6
256;81;10;16;40;6;6
272;175;15;16;88;6;6
288;175;15;16;88;6;6
304;176;16;16;88;6;6
320;177;16;16;88;6;6
336;175;15;16;88;6;6
352;175;15;16;88;6;6
368;146;17;17;72;6;6
384;81;10;17;40;6;6
400;175;15;17;88;6;6
416;175;15;17;88;6;6
432;145;16;17;72;6;6
448;81;10;17;40;6;6
464;175;15;17;88;6;6
480;81;10;17;40;6;6
496;112;13;17;56;6;6
512;81;10;17;40;6;6
528;175;15;17;88;6;6
544;175;15;17;88;6;6
560;176;16;17;88;6;6
576;177;16;17;88;6;6
592;175;15;17;88;6;6
608;175;15;17;88;6;6
624;177;17;17;88;6;6
640;177;16;17;88;6;6
656;175;15;17;88;6;6
672;175;15;17;88;6;6
688;176;16;17;88;6;6
704;178;17;17;88;6;6
720;175;15;17;88;6;6
736;175;15;17;88;6;6
752;176;16;17;88;6;6
768;179;18;18;88;6;6
784;175;15;18;88;6;6
800;175;15;18;88;6;6
816;176;16;18;88;6;6
832;177;16;18;88;6;6
848;175;15;18;88;6;6
864;175;15;18;88;6;6
880;146;17;18;72;6;6
896;81;10;18;40;6;6
912;175;15;18;88;6;6
928;175;15;18;88;6;6
944;145;16;18;72;6;6
960;81;10;18;40;6;6
976;175;15;18;88;6;6
992;81;10;18;40;6;6
1008;112;13;18;56;6;6
1024;81;10;18;40;6;6
1040;175;15;18;88;6;6
1056;175;15;18;88;6;6
1072;176;16;18;88;6;6
1088;177;16;18;88;6;6
1104;175;15;18;88;6;6
1120;175;15;18;88;6;6
1136;177;17;18;88;6;6
1152;177;16;18;88;6;6
1168;175;15;18;88;6;6
1184;175;15;18;88;6;6
1200;176;16;18;88;6;6
1216;178;17;18;88;6;6
1232;175;15;18;88;6;6
1248;175;15;18;88;6;6
1264;176;16;18;88;6;6
1280;179;18;18;88;6;6
1296;175;15;18;88;6;6
1312;175;15;18;88;6;6
1328;176;16;18;88;6;6
1344;177;16;18;88;6;6
1360;175;15;18;88;6;6
1376;175;15;18;88;6;6
1392;177;17;18;88;6;6
1408;177;16;18;88;6;6
1424;175;15;18;88;6;6
1440;175;15;18;88;6;6
1456;176;16;18;88;6;6
1472;178;17;18;88;6;6
1488;175;15;18;88;6;6
1504;175;15;18;88;6;6
1520;176;16;18;88;6;6
1536;179;18;18;88;6;6
1552;175;15;18;88;6;6
1568;175;15;18;88;6;6
1584;176;16;18;88;6;6
1600;177;16;18;88;6;6
1616;175;15;18;88;6;6
1632;175;15;18;88;6;6
1648;177;17;18;88;6;6
1664;177;16;18;88;6;6
1680;175;15;18;88;6;6
1696;175;15;18;88;6;6
