timePerAuthStepAvg;timePerAuthStepSum
456;467485
465;476203
506;518279
464;475182
511;523930
498;510073
493;504941
493;504939
486;497756
487;499299
498;510586
493;504942
493;504942
495;506995
491;502889
500;512124
496;508022
486;498272
489;501348
483;495188
486;498269
490;502379
481;492627
510;522388
490;501860
565;579345
604;619374
494;505971
502;514688
494;505972
493;505457
3415;3497645
502;514177
495;506991
492;503919
497;509561
482;493653
492;504429
490;502374
491;503404
491;502888
493;505456
473;484930
492;504429
490;501864
494;505968
494;505970
496;508532
490;501865
496;508536
459;470045
500;512126
492;504426
493;505460
490;502375
486;497756
495;507507
483;494678
469;480308
462;473640
474;485442
460;471585
466;477231
452;463376
