leafIndex;computations
0;1
1;0
2;1
3;1
4;1
5;1
6;2
7;2
8;1
9;1
10;2
11;2
12;2
13;2
14;3
15;3
16;1
17;1
18;2
19;2
20;2
21;2
22;3
23;3
24;2
25;2
26;3
27;3
28;3
29;3
30;4
31;4
32;1
33;1
34;2
35;2
36;2
37;2
38;3
39;3
40;2
41;2
42;3
43;3
44;3
45;3
46;4
47;4
48;2
49;2
50;3
51;3
52;3
53;3
54;4
55;4
56;3
57;3
58;4
59;4
60;4
61;4
62;5
63;5
64;1
65;1
66;2
67;2
68;2
69;2
70;3
71;3
72;2
73;2
74;3
75;3
76;3
77;3
78;4
79;4
80;2
81;2
82;3
83;3
84;3
85;3
86;4
87;4
88;3
89;3
90;4
91;4
92;4
93;4
94;5
95;5
96;2
97;2
98;3
99;3
100;3
101;3
102;4
103;4
104;3
105;3
106;4
107;4
108;4
109;4
110;5
111;5
112;3
113;3
114;4
115;4
116;4
117;4
118;5
119;5
120;4
121;4
122;5
123;5
124;5
125;5
126;6
127;6
128;1
129;1
130;2
131;2
132;2
133;2
134;3
135;3
136;2
137;2
138;3
139;3
140;3
141;3
142;4
143;4
144;2
145;2
146;3
147;3
148;3
149;3
150;4
151;4
152;3
153;3
154;4
155;4
156;4
157;4
158;5
159;5
160;2
161;2
162;3
163;3
164;3
165;3
166;4
167;4
168;3
169;3
170;4
171;4
172;4
173;4
174;5
175;5
176;3
177;3
178;4
179;4
180;4
181;4
182;5
183;5
184;4
185;4
186;5
187;5
188;5
189;5
190;6
191;6
192;2
193;2
194;3
195;3
196;3
197;3
198;4
199;4
200;3
201;3
202;4
203;4
204;4
205;4
206;5
207;5
208;3
209;3
210;4
211;4
212;4
213;4
214;5
215;5
216;4
217;4
218;5
219;5
220;5
221;5
222;6
223;6
224;3
225;3
226;4
227;4
228;4
229;4
230;5
231;5
232;4
233;4
234;5
235;5
236;5
237;5
238;6
239;6
240;4
241;4
242;5
243;5
244;5
245;5
246;6
247;6
248;5
249;5
250;6
251;6
252;6
253;6
254;7
255;7
