rounds;minSpace;maxSpace
1;1023;1024
2;1023;1024
3;1023;1023
4;1021;1023
5;1021;1022
6;1020;1022
7;1020;1020
8;1017;1020
9;1017;1018
10;1017;1018
11;1017;1017
12;1014;1017
13;1014;1015
14;1013;1015
15;1013;1013
16;1009;1013
17;1009;1010
18;1009;1010
19;1009;1009
20;1007;1009
21;1007;1008
22;1006;1008
23;1006;1006
24;1002;1006
25;1002;1003
26;1002;1003
27;1002;1002
28;999;1002
29;999;1000
30;998;1000
31;998;998
32;993;998
33;993;994
34;993;994
35;993;993
36;991;993
37;991;992
38;990;992
39;990;990
40;987;990
41;987;988
42;987;988
43;987;987
44;984;987
45;984;985
46;983;985
47;983;983
48;978;983
49;978;979
50;978;979
51;978;978
52;976;978
53;976;977
54;975;977
55;975;975
56;971;975
57;971;972
58;971;972
59;971;971
60;968;971
61;968;969
62;967;969
63;967;967
64;961;967
65;961;962
66;961;962
67;961;961
68;959;961
69;959;960
70;958;960
71;958;958
72;955;958
73;955;956
74;955;956
75;955;955
76;952;955
77;952;953
78;951;953
79;951;951
80;947;951
81;947;948
82;947;948
83;947;947
84;945;947
85;945;946
86;944;946
87;944;944
88;940;944
89;940;941
90;940;941
91;940;940
92;937;940
93;937;938
94;936;938
95;936;936
96;930;936
97;930;931
98;930;931
99;930;930
100;928;930
101;928;929
102;927;929
103;927;927
104;924;927
105;924;925
106;924;925
107;924;924
108;921;924
109;921;922
110;920;922
111;920;920
112;915;920
113;915;916
114;915;916
115;915;915
116;913;915
117;913;914
118;912;914
119;912;912
120;908;912
121;908;909
122;908;909
123;908;908
124;905;908
125;905;906
126;904;906
127;904;904
128;897;904
129;897;898
130;897;898
131;897;897
132;895;897
133;895;896
134;894;896
135;894;894
136;891;894
137;891;892
138;891;892
139;891;891
140;888;891
141;888;889
142;887;889
143;887;887
144;883;887
145;883;884
146;883;884
147;883;883
148;881;883
149;881;882
150;880;882
151;880;880
152;876;880
153;876;877
154;876;877
155;876;876
156;873;876
157;873;874
158;872;874
159;872;872
160;867;872
161;867;868
162;867;868
163;867;867
164;865;867
165;865;866
166;864;866
167;864;864
168;861;864
169;861;862
170;861;862
171;861;861
172;858;861
173;858;859
174;857;859
175;857;857
176;852;857
177;852;853
178;852;853
179;852;852
180;850;852
181;850;851
182;849;851
183;849;849
184;845;849
185;845;846
186;845;846
187;845;845
188;842;845
189;842;843
190;841;843
191;841;841
192;834;841
193;834;835
194;834;835
195;834;834
196;832;834
197;832;833
198;831;833
199;831;831
200;828;831
201;828;829
202;828;829
203;828;828
204;825;828
205;825;826
206;824;826
207;824;824
208;820;824
209;820;821
210;820;821
211;820;820
212;818;820
213;818;819
214;817;819
215;817;817
216;813;817
217;813;814
218;813;814
219;813;813
220;810;813
221;810;811
222;809;811
223;809;809
224;803;809
225;803;804
226;803;804
227;803;803
228;801;803
229;801;802
230;800;802
231;800;800
232;797;800
233;797;798
234;797;798
235;797;797
236;794;797
237;794;795
238;793;795
239;793;793
240;788;793
241;788;789
242;788;789
243;788;788
244;786;788
245;786;787
246;785;787
247;785;785
248;781;785
249;781;782
250;781;782
251;781;781
252;778;781
253;778;779
254;777;779
255;777;777
256;769;777
257;769;770
258;769;770
259;769;769
260;767;769
261;767;768
262;766;768
263;766;766
264;763;766
265;763;764
266;763;764
267;763;763
268;760;763
269;760;761
270;759;761
271;759;759
272;755;759
273;755;756
274;755;756
275;755;755
