round;minSpace;maxSpace
1;65;66
2;65;66
3;65;66
4;63;65
5;63;64
6;62;64
7;62;63
8;59;62
9;59;60
10;59;60
11;59;60
12;56;59
13;56;57
14;55;57
15;55;56
16;51;55
17;51;52
18;51;52
19;51;52
20;49;51
21;49;50
22;48;50
23;48;49
24;44;48
25;44;45
26;44;45
27;44;45
28;41;44
29;41;42
30;40;42
31;40;41
32;34;40
33;34;35
34;34;35
35;34;35
36;32;34
37;32;33
38;31;33
39;31;32
40;28;31
41;28;29
42;28;29
43;28;29
44;25;28
45;25;26
46;24;26
47;24;25
48;19;24
49;19;20
50;19;20
51;19;20
52;17;19
53;17;18
54;16;18
55;16;17
56;12;16
57;12;13
58;12;13
59;12;13
60;9;12
61;9;10
62;8;10
63;8;9
