round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
2;5;3;3;1;1;1
4;5;3;3;1;1;1
6;5;3;3;1;1;1
8;5;3;3;1;1;1
10;5;3;3;1;1;1
12;5;3;3;1;1;1
14;5;3;3;1;1;1
16;5;3;3;1;1;1
18;5;3;3;1;1;1
20;5;3;3;1;1;1
22;5;3;3;1;1;1
24;5;3;3;1;1;1
26;5;3;3;1;1;1
28;5;3;3;1;1;1
30;5;3;3;1;1;1
32;5;3;3;1;1;1
34;5;3;3;1;1;1
36;5;3;3;1;1;1
38;5;3;3;1;1;1
40;5;3;3;1;1;1
42;5;3;3;1;1;1
44;5;3;3;1;1;1
46;5;3;3;1;1;1
48;5;3;3;1;1;1
50;5;3;3;1;1;1
52;5;3;3;1;1;1
54;5;3;3;1;1;1
56;5;3;3;1;1;1
58;5;3;3;1;1;1
60;5;3;3;1;1;1
62;5;3;3;1;1;1
64;5;3;3;1;1;1
66;5;3;3;1;1;1
68;5;3;3;1;1;1
70;5;3;3;1;1;1
72;5;3;3;1;1;1
74;5;3;3;1;1;1
76;5;3;3;1;1;1
78;5;3;3;1;1;1
80;5;3;3;1;1;1
82;5;3;3;1;1;1
84;5;3;3;1;1;1
86;5;3;3;1;1;1
88;5;3;3;1;1;1
90;5;3;3;1;1;1
92;5;3;3;1;1;1
94;5;3;3;1;1;1
96;5;3;3;1;1;1
98;5;3;3;1;1;1
100;5;3;3;1;1;1
102;5;3;3;1;1;1
104;5;3;3;1;1;1
106;5;3;3;1;1;1
108;5;3;3;1;1;1
110;5;3;3;1;1;1
112;5;3;3;1;1;1
114;5;3;3;1;1;1
116;5;3;3;1;1;1
118;5;3;3;1;1;1
120;5;3;3;1;1;1
122;5;3;3;1;1;1
124;5;3;3;1;1;1
126;5;3;3;1;1;1
