timePerAuthStepAvg;timePerAuthStepSum
2034647;8138591
2089041;8356167
2356779;9427117
2054147;8216591
1992569;7970277
2002575;8010303
1958316;7833266
2033621;8134487
1974994;7899978
2022588;8090355
1980510;7922042
2014763;8059052
1995648;7982594
2039138;8156552
2212583;8850334
2162294;8649179
1994879;7979516
2091993;8367972
2072364;8289459
2173712;8694848
2045424;8181696
2018868;8075474
1915083;7660335
1926886;7707544
1935481;7741926
1962293;7849173
1943435;7773741
1949464;7797859
1911748;7646993
1891606;7566427
1908797;7635190
1844782;7379128
1895455;7581822
1920599;7682399
1936507;7746031
1886347;7545389
1908412;7633650
1887758;7551033
1965115;7860462
1921754;7687019
1958060;7832240
1907386;7629546
1842600;7370402
1917136;7668546
1879291;7517166
1917393;7669572
1888271;7553086
1917649;7670596
1932787;7731150
1881985;7527941
1903024;7612097
1948181;7792727
1901612;7606451
2204501;8818006
1977560;7910240
2039137;8156551
2008605;8034423
1976148;7904594
2009631;8038527
1993339;7973356
1985257;7941028
1972941;7891767
1995391;7981567
1958957;7835830
