timePerAuthStepAvg;timePerAuthStepSum
433;443878
422;432587
404;414627
396;405898
426;437203
445;456194
416;426433
429;440281
408;418214
431;441821
563;576784
517;530081
422;432591
422;433097
429;439775
424;435157
395;404878
435;446443
402;412063
408;418731
414;424370
428;438745
508;520847
483;494682
462;473129
434;444904
416;426938
429;439773
577;591661
481;492625
466;477231
420;431048
398;407954
411;421809
407;417707
403;413597
400;410012
443;454653
439;450548
422;433098
415;425918
419;429507
429;439770
428;438743
409;419244
415;425913
419;429508
422;432585
387;396664
382;391540
380;389481
386;396148
357;365877
370;379735
371;380759
372;381274
367;376138
386;395642
375;384351
390;400260
361;369982
351;360235
349;358178
300;307892
