round;minSpace;maxSpace
16;13;19
32;14;21
48;14;23
64;14;22
80;14;25
96;15;23
112;15;24
128;14;23
144;14;20
160;15;26
176;17;28
192;15;24
208;15;26
224;16;24
240;16;25
256;14;24
272;14;20
288;15;22
304;15;26
320;16;28
336;16;27
352;18;29
368;18;30
384;15;25
400;15;21
416;16;27
432;18;29
448;16;25
464;16;27
480;17;25
496;17;26
512;14;25
528;14;20
544;15;22
560;15;24
576;15;23
592;15;26
608;16;24
624;16;27
640;16;29
656;16;22
672;17;28
688;19;30
704;17;31
720;17;28
736;19;30
752;20;31
768;15;32
784;15;21
800;16;23
816;16;27
832;17;29
848;17;28
864;19;30
880;19;31
896;16;26
912;16;22
928;17;28
944;19;30
960;17;26
976;17;28
992;18;26
1008;18;27
1024;14;26
1040;14;20
1056;15;22
1072;15;24
1088;15;23
1104;15;26
1120;16;24
1136;16;25
1152;15;24
1168;15;21
1184;16;27
1200;18;29
1216;16;25
1232;16;27
1248;17;25
1264;17;26
1280;15;25
1296;15;21
1312;16;23
1328;16;27
1344;17;29
1360;17;28
1376;19;30
1392;20;31
1408;17;31
1424;17;23
1440;18;29
1456;20;31
1472;18;32
1488;18;29
1504;20;31
1520;21;32
1536;15;33
1552;15;21
1568;16;23
1584;16;25
1600;16;24
1616;16;27
1632;17;25
1648;17;28
1664;17;30
1680;17;23
1696;18;29
1712;20;31
1728;18;32
1744;18;29
1760;20;31
1776;21;32
1792;16;33
1808;16;22
1824;17;24
1840;17;28
1856;18;30
1872;18;29
1888;20;31
1904;21;32
1920;18;32
1936;18;24
1952;19;30
1968;21;32
1984;19;33
2000;19;30
2016;21;32
2032;22;33
2048;13;34
2064;13;19
2080;14;21
2096;14;23
2112;14;22
2128;14;24
2144;15;26
2160;15;24
2176;14;23
2192;14;20
2208;15;26
2224;16;27
2240;15;28
2256;15;25
2272;16;27
2288;16;25
2304;14;24
2320;14;20
2336;15;22
2352;15;24
2368;16;27
2384;16;26
2400;17;29
2416;17;28
2432;15;30
2448;15;21
2464;16;27
2480;17;28
2496;16;29
2512;16;26
2528;17;28
2544;17;26
2560;14;25
2576;14;20
2592;15;22
2608;15;24
2624;15;23
2640;15;25
2656;16;27
2672;16;25
2688;15;24
2704;15;21
2720;16;27
2736;17;28
2752;17;29
2768;17;27
2784;18;30
2800;18;29
2816;15;31
2832;15;21
2848;16;23
2864;16;25
2880;17;28
2896;17;27
2912;18;30
2928;18;29
2944;16;31
2960;16;22
2976;17;28
2992;18;29
3008;18;30
3024;18;28
3040;19;31
3056;19;30
3072;13;32
3088;13;19
3104;14;21
3120;14;23
3136;14;22
3152;14;24
3168;15;25
3184;15;24
3200;14;23
3216;14;20
3232;15;25
3248;16;27
3264;15;28
3280;15;25
3296;16;26
3312;16;25
3328;14;24
3344;14;20
3360;15;22
3376;15;24
3392;15;23
3408;15;25
3424;17;27
3440;17;28
3456;15;29
3472;15;21
3488;16;26
3504;17;28
3520;16;29
3536;16;26
3552;18;28
3568;18;29
3584;13;30
3600;13;19
3616;14;22
3632;14;24
3648;14;23
3664;14;23
3680;15;26
3696;15;25
3712;14;24
3728;14;20
3744;15;23
3760;15;25
3776;15;27
3792;15;24
3808;16;27
3824;16;26
3840;13;28
3856;13;19
3872;14;21
3888;14;24
3904;14;22
3920;14;20
3936;15;25
3952;15;25
3968;13;26
3984;13;20
4000;14;22
4016;14;23
4032;13;24
4048;13;20
4064;13;22
4080;13;20
