round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
16;81;11;11;40;5;5
32;112;20;20;56;11;11
48;144;22;22;72;11;11
64;112;20;22;56;11;11
80;208;26;26;104;11;11
96;112;20;26;56;11;11
112;144;22;26;72;11;11
128;112;20;26;56;11;11
144;81;11;26;40;5;11
160;302;26;26;152;11;11
176;209;27;27;104;11;11
192;112;20;27;56;11;11
208;208;26;27;104;11;11
224;112;20;27;56;11;11
240;144;22;27;72;11;11
256;112;20;27;56;11;11
272;81;11;27;40;5;11
288;112;20;27;56;11;11
304;207;25;27;104;11;11
320;304;27;27;152;11;11
336;208;26;27;104;11;11
352;302;26;27;152;11;11
368;210;28;28;104;11;11
384;112;20;28;56;11;11
400;81;11;28;40;5;11
416;302;26;28;152;11;11
432;209;27;28;104;11;11
448;112;20;28;56;11;11
464;208;26;28;104;11;11
480;112;20;28;56;11;11
496;144;22;28;72;11;11
512;112;20;28;56;11;11
528;81;11;28;40;5;11
544;112;20;28;56;11;11
560;144;22;28;72;11;11
576;112;20;28;56;11;11
592;208;26;28;104;11;11
608;112;20;28;56;11;11
624;207;25;28;104;11;11
640;304;27;28;152;11;11
656;81;11;28;40;5;11
672;302;26;28;152;11;11
688;272;27;28;136;11;11
704;305;28;28;152;11;11
720;208;26;28;104;11;11
736;302;26;28;152;11;11
752;272;27;28;136;11;11
768;306;29;29;152;11;11
784;81;11;29;40;5;11
800;112;20;29;56;11;11
816;207;25;29;104;11;11
832;304;27;29;152;11;11
848;208;26;29;104;11;11
864;302;26;29;152;11;11
880;210;28;29;104;11;11
896;112;20;29;56;11;11
912;81;11;29;40;5;11
928;302;26;29;152;11;11
944;209;27;29;104;11;11
960;112;20;29;56;11;11
976;208;26;29;104;11;11
992;112;20;29;56;11;11
1008;144;22;29;72;11;11
1024;112;20;29;56;11;11
1040;81;11;29;40;5;11
1056;112;20;29;56;11;11
1072;144;22;29;72;11;11
1088;112;20;29;56;11;11
1104;208;26;29;104;11;11
1120;112;20;29;56;11;11
1136;144;22;29;72;11;11
1152;112;20;29;56;11;11
1168;81;11;29;40;5;11
1184;302;26;29;152;11;11
1200;209;27;29;104;11;11
1216;112;20;29;56;11;11
1232;208;26;29;104;11;11
1248;112;20;29;56;11;11
1264;144;22;29;72;11;11
1280;112;20;29;56;11;11
1296;81;11;29;40;5;11
1312;112;20;29;56;11;11
1328;207;25;29;104;11;11
1344;304;27;29;152;11;11
1360;208;26;29;104;11;11
1376;302;26;29;152;11;11
1392;273;28;29;136;11;11
1408;304;27;29;152;11;11
1424;81;11;29;40;5;11
1440;302;26;29;152;11;11
1456;272;27;29;136;11;11
1472;305;28;29;152;11;11
1488;208;26;29;104;11;11
1504;302;26;29;152;11;11
1520;272;27;29;136;11;11
1536;306;29;29;152;11;11
1552;81;11;29;40;5;11
1568;112;20;29;56;11;11
1584;144;22;29;72;11;11
1600;112;20;29;56;11;11
1616;208;26;29;104;11;11
1632;112;20;29;56;11;11
1648;207;25;29;104;11;11
1664;304;27;29;152;11;11
1680;81;11;29;40;5;11
1696;302;26;29;152;11;11
1712;272;27;29;136;11;11
1728;305;28;29;152;11;11
1744;208;26;29;104;11;11
1760;302;26;29;152;11;11
1776;272;27;29;136;11;11
1792;306;29;29;152;11;11
1808;81;11;29;40;5;11
1824;112;20;29;56;11;11
1840;207;25;29;104;11;11
1856;304;27;29;152;11;11
1872;208;26;29;104;11;11
1888;302;26;29;152;11;11
1904;273;28;29;136;11;11
1920;304;27;29;152;11;11
1936;81;11;29;40;5;11
1952;302;26;29;152;11;11
1968;272;27;29;136;11;11
1984;305;28;29;152;11;11
2000;208;26;29;104;11;11
2016;302;26;29;152;11;11
2032;272;27;29;136;11;11
2048;307;30;30;152;11;11
2064;81;14;30;40;6;11
2080;112;17;30;56;10;11
2096;144;24;30;72;10;11
2112;112;17;30;56;10;11
2128;175;24;30;88;10;11
2144;145;25;30;72;10;11
2160;144;24;30;72;10;11
2176;112;17;30;56;10;11
2192;81;14;30;40;6;11
2208;239;25;30;120;10;11
2224;238;24;30;120;10;11
2240;146;26;30;72;10;11
2256;175;24;30;88;10;11
2272;145;25;30;72;10;11
2288;144;24;30;72;10;11
2304;112;17;30;56;10;11
2320;81;14;30;40;6;11
2336;112;17;30;56;10;11
2352;144;24;30;72;10;11
2368;239;25;30;120;10;11
2384;175;24;30;88;10;11
2400;273;26;30;136;10;11
2416;238;24;30;120;10;11
2432;274;27;30;136;10;11
2448;81;14;30;40;6;11
2464;239;25;30;120;10;11
2480;238;24;30;120;10;11
2496;146;26;30;72;10;11
2512;175;24;30;88;10;11
2528;145;25;30;72;10;11
2544;144;24;30;72;10;11
2560;112;17;30;56;10;11
2576;81;14;30;40;6;11
2592;112;17;30;56;10;11
2608;144;24;30;72;10;11
2624;112;17;30;56;10;11
2640;175;24;30;88;10;11
2656;145;25;30;72;10;11
2672;144;24;30;72;10;11
2688;112;17;30;56;10;11
2704;81;14;30;40;6;11
2720;239;25;30;120;10;11
2736;238;24;30;120;10;11
2752;273;26;30;136;10;11
2768;175;24;30;88;10;11
2784;273;26;30;136;10;11
2800;238;24;30;120;10;11
2816;274;27;30;136;10;11
2832;81;14;30;40;6;11
2848;112;17;30;56;10;11
2864;144;24;30;72;10;11
2880;239;25;30;120;10;11
2896;175;24;30;88;10;11
2912;273;26;30;136;10;11
2928;238;24;30;120;10;11
2944;274;27;30;136;10;11
2960;81;14;30;40;6;11
2976;239;25;30;120;10;11
2992;238;24;30;120;10;11
3008;273;26;30;136;10;11
3024;175;24;30;88;10;11
3040;273;26;30;136;10;11
3056;238;24;30;120;10;11
3072;275;28;30;136;10;11
3088;81;15;30;40;7;11
3104;112;19;30;56;9;11
3120;144;19;30;72;9;11
3136;112;19;30;56;9;11
3152;144;20;30;72;9;11
3168;176;20;30;88;9;11
3184;144;19;30;72;9;11
3200;112;19;30;56;9;11
3216;81;15;30;40;7;11
3232;175;20;30;88;9;11
3248;208;21;30;104;9;11
3264;240;22;30;120;9;11
3280;144;20;30;72;9;11
3296;176;20;30;88;9;11
3312;144;19;30;72;9;11
3328;112;19;30;56;9;11
3344;81;15;30;40;7;11
3360;112;19;30;56;9;11
3376;144;19;30;72;9;11
3392;112;19;30;56;9;11
3408;144;20;30;72;9;11
3424;239;20;30;120;9;11
3440;208;21;30;104;9;11
3456;240;22;30;120;9;11
3472;81;15;30;40;7;11
3488;175;20;30;88;9;11
3504;208;21;30;104;9;11
3520;240;22;30;120;9;11
3536;144;20;30;72;9;11
3552;239;20;30;120;9;11
3568;208;21;30;104;9;11
3584;241;23;30;120;9;11
3600;81;17;30;40;8;11
3616;112;17;30;56;8;11
3632;144;18;30;72;8;11
3648;112;17;30;56;8;11
3664;112;18;30;56;8;11
3680;208;20;30;104;8;11
3696;144;18;30;72;8;11
3712;112;17;30;56;8;11
3728;81;17;30;40;8;11
3744;112;17;30;56;8;11
3760;175;19;30;88;8;11
3776;208;20;30;104;8;11
3792;112;18;30;56;8;11
3808;208;20;30;104;8;11
3824;175;19;30;88;8;11
3840;209;21;30;104;8;11
3856;81;13;30;40;7;11
3872;112;15;30;56;7;11
3888;144;17;30;72;7;11
3904;112;15;30;56;7;11
3920;81;13;30;40;7;11
3936;175;17;30;88;7;11
3952;144;17;30;72;7;11
3968;176;18;30;88;7;11
3984;81;10;30;40;6;11
4000;112;15;30;56;6;11
4016;112;15;30;56;6;11
4032;144;16;30;72;6;11
4048;81;11;30;40;5;11
4064;112;12;30;56;5;11
4080;81;10;30;40;4;11
